ner_state_name,gen_edu_category,gender,sample_size,fe_rate,fe_rate_se,ur,ur_se
Sikkim,HS or Diploma,Male,31,70.21134010540374,9.474680098810309,6.9699468306849806,3.530147287284547
Sikkim,UG,Female,47,65.90751507005156,9.98648775501528,22.15422608352243,7.7775635226261945
Sikkim,UG,Male,50,87.93473209312825,5.471422120514053,5.175892567870106,3.88511819678332
Sikkim,PG and above,Female,15,64.91250653606512,9.866010018351206,20.356200580362664,7.651192562494794
Sikkim,PG and above,Male,11,88.03741572074765,9.864405650678254,8.983186822565504,9.15653408093626
Tripura,Below Primary,Female,7,0,0,0,0
Tripura,Below Primary,Male,9,0,0,11.0011742485503,10.844699728229694
Tripura,Primary or Middle,Female,55,3.1299608463937636,1.8623226872701883,0,0
Tripura,Primary or Middle,Male,186,4.6898356619987345,1.5080689742271158,1.8905472457215675,1.1120500896470344
Tripura,Matriculation,Female,18,11.058662218822244,7.84073096409021,0,0
Tripura,Matriculation,Male,70,27.99713389793,7.586688755634835,3.446712424555072,2.498641943216956
Tripura,HS or Diploma,Female,22,33.937735755134895,14.262611003524944,11.941097718834474,6.705797390872012
Tripura,HS or Diploma,Male,75,37.76788582894907,8.2315100154784009,8.149449686717055,3.870000120933791
Tripura,UG,Female,63,32.670767526038304,6.608685093028434,31.00917244421712,7.508869853113842
Tripura,UG,Male,127,27.290033565661076,5.788291959745572,26.572667919031684,9.191423932958065
Tripura,PG and above,Female,19,19.230258243536817,9.588014378149271,51.151387862967255,14.757775397840355
Tripura,PG and above,Male,13,27.3949211624822,14.986570137953079,27.811735506902668,14.43252922138329
